Sector,Coordinates
sector 24,"28.4174779, 77.0587498"
sector 70,"28.5175247, 77.0425692"
sector 77,"28.4421059, 77.1112654"
sector 95,"28.4421059, 77.1112654"
sector 90,"28.4421059, 77.1112654"
sector 68,"28.4421059, 77.1112654"
sector 28,"28.479414249999998, 77.08335877814254"
sector 67,"28.4421059, 77.1112654"
sector 5,"28.4806013, 77.01878389509227"
sector 79,"28.4421059, 77.1112654"
sector 113,"28.4808629, 77.0848883"
sector 86,"28.3981205, 76.9411257"
sector 92,"28.4421059, 77.1112654"
sector 2,"28.4421059, 77.1112654"
sector 11,"28.4185077, 77.0541785"
sector 61,"28.4252244, 77.0992377"
sector 89,"28.4184455, 76.9457567"
sector 12,"28.4671681, 77.018953"
sector 37,"28.4421059, 77.1112654"
sector 33,"28.417746, 77.0575589"
sector 91,"28.5175247, 77.0425692"
sohna,"28.4252244, 77.0992377"
sector 48,"28.4421059, 77.1112654"
sector 81,"28.5175247, 77.0425692"
sector 6,"28.4930851, 77.0881767"
sector 93,"28.4156048, 76.931638"
sector 69,"28.4421059, 77.1112654"
sector 82,"28.39328265, 76.95452774874246"
sector 102,"28.4808629, 77.0848883"
sector 72,"28.3943815, 77.032363"
sector 4,"28.47494045, 77.0099281413159"
sector 50,"28.423750249999998, 77.06140589230066"
sector 112,"28.4808629, 77.0848883"
sector 108,"28.4808629, 77.0848883"
sector 103,"28.4808629, 77.0848883"
sector 83,"28.39635775, 76.96547472597982"
sector 53,"28.43432515, 77.10302891632796"
sector 85,"28.39857615, 76.95474469145967"
sector 57,"28.4021644, 77.03826752180231"
sector 109,"28.4605273, 77.0794542"
sector 104,"28.4808629, 77.0848883"
sector 25,"28.4808629, 77.0848883"
sector 56,"28.4252244, 77.0992377"
sector 38,"28.4421059, 77.1112654"
sector 26,"28.4421059, 77.1112654"
sector 106,"28.4808629, 77.0848883"
sector 30,"28.4618719, 77.05688"
sector 65,"28.3982332, 77.0640936"
sector 39,"28.4433686, 77.0552345"
sector 14,"28.4741534, 77.047729"
manesar,"28.39328265, 76.95452774874246"
sector 58,"28.4421059, 77.1112654"
gwal pahari,
sector 43,"28.4572578, 77.09328244979926"
sector 76,"28.4421059, 77.1112654"
sector 74,"28.4190129, 77.0027507"
sector 63,"28.4421059, 77.1112654"
sector 7,"28.4174744, 77.0590725"
sector 22,"28.5020206, 77.0707766"
sector 71,"28.3950557, 77.0314336"
sector 99,"28.4421059, 77.1112654"
sector 107,"28.4808629, 77.0848883"
sector 66,"28.4421059, 77.1112654"
sector 105,"28.4808629, 77.0848883"
sector 78,"28.3797627, 76.96292779999999"
sector 88,"28.4219647, 76.9568078"
sector 60,"28.4421059, 77.1112654"
sector 36,"28.4421059, 77.1112654"
sector 84,"28.4035469, 76.96778940188835"
sector 54,"28.433569, 77.1055815"
sector 47,"28.4183752, 77.0575729"
sector 46,"28.434683399999997, 77.06049607561346"
dwarka,
sector 55,"28.4233013, 77.1051377"
sector 1,"28.5175247, 77.0425692"
sector 15,"28.418377, 77.0590771"
sector 111,"28.4808629, 77.0848883"
sector 17,"28.47383939183456, 77.06095644096278"
sector 40,"28.449216, 77.0566378"
sector 23,"28.5111928, 77.0485704"
sector 45,"28.444069, 77.0639454"
sector 49,"28.4127374, 77.0555164"
sector 8,"28.4532911, 77.017516"
sector 110,"28.4808629, 77.0848883"
sector 52,"28.4352144, 77.088689"
sector 3,"28.4618719, 77.05688"
sector 10,"28.48136935, 77.07403353329784"
sector 9,"28.4622211, 76.99947377457761"
sector 41,"28.4177233, 77.0585445"
sector 62,"28.4157405, 77.0858249"
sector 31,"28.4527426, 77.0431979"
sector 13,"28.5175247, 77.0425692"
sector 51,"28.5175247, 77.0425692"
sector 80,"28.37893885, 76.9613069"
sector 21,"28.417459, 77.0585567"
sector 59,"28.4421059, 77.1112654"
sector 73,"28.4421059, 77.1112654"
sector 27,"28.4691505, 77.0911942"
